video_id,title,published,duration_seconds,url,docx,json,summary_preview
l7a9G9heXWY,"KOALISI PEMERINTAH SEREMPAK MENYERANG MERAH. ADA APA? ""...PDIP SUDAH KEHILANGAN MOMENTUM...""",20260629,3311,https://www.youtube.com/watch?v=l7a9G9heXWY,akbarfaizaluncensored/20260629_KOALISI PEMERINTAH SEREMPAK MENYERANG MERAH ADA APA PDIP SUD_l7a9G9heXWY.docx,akbarfaizaluncensored/20260629_KOALISI PEMERINTAH SEREMPAK MENYERANG MERAH ADA APA PDIP SUD_l7a9G9heXWY.json,"## OUTPUT 1: EMAIL SUMMARY ## Overview This video discusses the evolving political stance of Indonesia's PDI-P party within the governing coalition. Host Akbar Faisal, alongside guests Irma Suryani Chaniago (NasDem Party) and Ahmad Doli Kurnia Tanjung (Golkar Party), analyzes recent statements from "
DoAx8W--3w0,"ROADSHOW DAN LAUNCHING BUKU DEMOKRASI DIGITAL: VIRALITAS, ALGORITMA DAN SUARA GEN Z",20260619,4540,https://www.youtube.com/watch?v=DoAx8W--3w0,akbarfaizaluncensored/20260619_ROADSHOW DAN LAUNCHING BUKU DEMOKRASI DIGITAL VIRALITAS ALGO_DoAx8W--3w0.docx,akbarfaizaluncensored/20260619_ROADSHOW DAN LAUNCHING BUKU DEMOKRASI DIGITAL VIRALITAS ALGO_DoAx8W--3w0.json,"## OUTPUT 1: EMAIL SUMMARY ## Overview This video features a discussion and book launch titled ""Digital Democracy: Virality, Algorithms, and Gen Z Voices,"" hosted by Akbar Faisal. The event centers on the book authored by Andi Ilham Paulanggi, which explores the transformation of public discourse in"
oCu1coYVaXs,"TB HASANUDDIN BANTAH LOGIKA HUKUM SOLEMAN PONTO. ""ANDRIE MURNI PIDANA UMUM. KONEKSITAS TAK BERLAKU""",20260516,0,https://www.youtube.com/watch?v=oCu1coYVaXs,AkbarFaizalUncensored/20260516_TB HASANUDDIN BANTAH LOGIKA HUKUM SOLEMAN PONTO ANDRIE MURNI_oCu1coYVaXs.docx,,
o8PgUxCwSHk,"PONTJO SUTOWO, PEMILIK HOTEL SULTAN. ""ADA YANG MAU RAMPAS HOTEL DAN BISNIS SAYA....""",20260514,0,https://www.youtube.com/watch?v=o8PgUxCwSHk,AkbarFaizalUncensored/20260514_PONTJO SUTOWO PEMILIK HOTEL SULTAN ADA YANG MAU RAMPAS HOTEL_o8PgUxCwSHk.docx,,
9UVY_Edhc1Q,"UTANG JOKOWI BEBAN POLITIK PRABOWO. ""PURBAYA HARUS JUJUR. KITA TAKKAN BERTAHAN HINGGA AKHIR TAHUN""",20260505,0,https://www.youtube.com/watch?v=9UVY_Edhc1Q,AkbarFaizalUncensored/20260505_UTANG JOKOWI BEBAN POLITIK PRABOWO PURBAYA HARUS JUJUR KITA_9UVY_Edhc1Q.docx,,
awE86gqSEQo,"KRITIK HASSAN WIRAJUDA PADA KEBIJAKAN LUAR NEGERI PRABOWO. ""PRESIDEN LUPAKAN JANGKAR DIPLOMASI KITA""",20260502,3347,https://www.youtube.com/watch?v=awE86gqSEQo,akbarfaizaluncensored/20260502_KRITIK HASSAN WIRAJUDA PADA KEBIJAKAN LUAR NEGERI PRABOWO PR_awE86gqSEQo.docx,akbarfaizaluncensored/20260502_KRITIK HASSAN WIRAJUDA PADA KEBIJAKAN LUAR NEGERI PRABOWO PR_awE86gqSEQo.json,"## Overview Former Indonesian Foreign Minister Hassan Wirajuda critically examined recent discussions, triggered by a (later retracted) statement from Finance Minister Purbaya Yudisadewa, regarding the imposition of transit tariffs on vessels using the Malacca Strait. Wirajuda, in an interview with "
34eMIruz1-Q,TUDING PBNU RUSAK DITANGAN GUS YAHYA. CAK IMIN JAMIN PKB DUKUNG YANG PASTI MENANG SAJA DI 2029,20260429,3752,https://www.youtube.com/watch?v=34eMIruz1-Q,akbarfaizaluncensored/20260429_TUDING PBNU RUSAK DITANGAN GUS YAHYA CAK IMIN JAMIN PKB DUKU_34eMIruz1-Q.docx,akbarfaizaluncensored/20260429_TUDING PBNU RUSAK DITANGAN GUS YAHYA CAK IMIN JAMIN PKB DUKU_34eMIruz1-Q.json,"## Overview This video features an interview with Gus Muhaimin Iskandar (Cak Imin), the Coordinating Minister for Community Empowerment and Chairman of the National Awakening Party (PKB), addressing a range of political and economic issues. The discussion begins with internal dynamics within Nahdlat"
c0-ev72X2hs,DEBAT AKBAR FAIZAL - SOLEMAN PONTO. MENUNTUT KEADILAN BAGI ANDRIE YUNUS,20260424,3166,https://www.youtube.com/watch?v=c0-ev72X2hs,akbarfaizaluncensored/20260424_DEBAT AKBAR FAIZAL - SOLEMAN PONTO MENUNTUT KEADILAN BAGI AN_c0-ev72X2hs.docx,akbarfaizaluncensored/20260424_DEBAT AKBAR FAIZAL - SOLEMAN PONTO MENUNTUT KEADILAN BAGI AN_c0-ev72X2hs.json,"# OUTPUT 1: EMAIL SUMMARY ## Overview This video features a discussion between host Akbar Faizal and former Head of the State Intelligence Agency (Bais) Major General (Ret.) Soleman Ponto, focusing on the recent acid attack against activist Andrie Yunus. The conversation delves into the alleged invo"
gFkXA0zMhbU,AJAKAN TURUNKAN PRABOWO. KERAS! SAIFUL MUJANI VS IWAN PILIANG,20260422,3725,https://www.youtube.com/watch?v=gFkXA0zMhbU,akbarfaizaluncensored/20260422_AJAKAN TURUNKAN PRABOWO KERAS SAIFUL MUJANI VS IWAN PILIANG_gFkXA0zMhbU.docx,akbarfaizaluncensored/20260422_AJAKAN TURUNKAN PRABOWO KERAS SAIFUL MUJANI VS IWAN PILIANG_gFkXA0zMhbU.json,"## OUTPUT 1: EMAIL SUMMARY ## Overview This video features a discussion between political analyst Saiful Mujani and Iwan Piliang, moderated by Akbar Faizal, focusing on concerns about the state of democracy in Indonesia and the role of President Prabowo Subianto. Mujani argues that President Prabowo"
9WXrmUpQJ0Q,"KH YAHYA STAQUF BUKA-BUKAAN SOAL INTERNAL NU. ""DEMI NU, SAYA ABAIKAN ADIK SAYA""",20260417,3437,https://www.youtube.com/watch?v=9WXrmUpQJ0Q,akbarfaizaluncensored/20260417_KH YAHYA STAQUF BUKA-BUKAAN SOAL INTERNAL NU DEMI NU SAYA AB_9WXrmUpQJ0Q.docx,akbarfaizaluncensored/20260417_KH YAHYA STAQUF BUKA-BUKAAN SOAL INTERNAL NU DEMI NU SAYA AB_9WXrmUpQJ0Q.json,"## OUTPUT 1: EMAIL SUMMARY ## Overview This episode of Akbar Faizal Uncensored features an in-depth interview with K.H. Yahya Staquf, the General Chairman of Nahdlatul Ulama (NU). The discussion centers on the evolving role and identity of NU within Indonesian society and politics. Staquf elaborates"
